Embedding,Pooling,Classifier,Accuracy
Contrastive,triplet_projected,LinearSVM,0.9622641509433962
Contrastive,triplet_projected,MLP,0.9622641509433962
Contrastive,triplet_projected,LogReg,0.9622641509433962
DINOv2,max_pool,LogReg,0.27358490566037735
DINOv2,max_pool,MLP,0.24528301886792453
DINOv2,mean_pool,LogReg,0.24528301886792453
DINOv2,attention_pool,LogReg,0.2358490566037736
DINOv2,mean_pool,MLP,0.2169811320754717
DINOv2,attention_pool,MLP,0.2169811320754717
DINOv2,max_pool,LinearSVM,0.20754716981132076
DINOv2,mean_pool,LinearSVM,0.16037735849056603
DINOv2,last_frame,MLP,0.16037735849056603
DINOv2,attention_pool,LinearSVM,0.16037735849056603
DINOv2,first_frame,MLP,0.1509433962264151
DINOv2,first_frame,LogReg,0.14150943396226415
DINOv2,first_frame,LinearSVM,0.10377358490566038
DINOv2,last_frame,LinearSVM,0.09433962264150944
DINOv2,last_frame,LogReg,0.09433962264150944
