Best model: Full temporal (all features) + HistGradBoost
Test league: england_epl_2021-2022

                                precision    recall  f1-score   support

                                     0.00      0.00      0.00         5
              ball_out_of_play       0.00      0.00      0.00        40
               ball_possession       0.00      0.00      0.00       120
                     clearance       0.21      0.57      0.30       482
                        corner       0.41      0.45      0.43       546
              end_of_half_game       0.46      0.91      0.61       102
          foul_lead_to_penalty       0.09      0.04      0.06        24
             foul_with_no_card       0.04      0.00      0.01       287
                     free_kick       0.50      0.02      0.04        50
                          goal       0.35      0.04      0.08       205
                        injury       0.44      0.20      0.27       105
                lead_to_corner       0.00      0.00      0.00       201
                      off_side       0.00      0.00      0.00        95
                       penalty       0.50      0.60      0.55        10
                      red_card       1.00      0.08      0.14        13
          saved_by_goal-keeper       0.00      0.00      0.00       149
               shot_off_target       0.00      0.00      0.00       294
               show_added_time       0.93      1.00      0.97        97
            start_of_half_game       1.00      1.00      1.00       100
        statistics_and_summary       0.00      0.00      0.00        39
                  substitution       0.23      0.78      0.35       283
                      throw_in       0.00      0.00      0.00         4
                           var       0.46      0.18      0.26        60
wcl-icon-settings-info-rounded       0.00      0.00      0.00        10
                   yellow_card       0.38      0.02      0.03       178

                     micro avg       0.31      0.31      0.31      3499
                     macro avg       0.28      0.24      0.20      3499
                  weighted avg       0.26      0.31      0.23      3499
