Game,Events,Labels,k,Purity,ARI,Silhouette
01,65,18,18,0.46153846153846156,0.04735976405195395,0.10995402405901655
02,66,17,17,0.48484848484848486,0.031083919276778376,0.1332115802765678
03,58,13,13,0.3793103448275862,0.021032808416112575,0.10115643058038207
04,75,18,18,0.5066666666666667,0.12160801128025092,0.1860523632988614
05,62,16,16,0.46774193548387094,0.12295440530840057,0.14216370934289313
06,58,14,14,0.4482758620689655,0.09269122855434432,0.11999838609149079
07,60,16,16,0.48333333333333334,0.14520840420914327,0.12428333451360801
08,77,19,19,0.38961038961038963,0.04751418167846324,0.12497934592092015
09,46,17,17,0.4782608695652174,0.03025502120917872,0.1673619693333259
10,60,18,18,0.4,0.06323478317078886,0.14456575816539674
